ID,user_id,user_tag,Sentiment,Text
682850948742516736,2762592056,Stop_The_EU,0,"Stop the EU üá¨üáß : ""Time to LEAVE the EU #brexit #Vote Leave. It's bombarding #EUref #StopTheEU Facebook exit https://t.co/6eZWJrJQFK  https://t.co/qYZaVtW6kc https://t.co/QABcJFR3Rd"""
682867483880067072,217078361,1954candanga,1,"petra : ""@TonyDuheaume #UK ""@SHKMEP: #Brexit Poll of Polls 55% Brits want to remain in  like #EU https://t.co/WtHYQZBx97"""""
682889523034865664,16558943,politicshome,1,"PoliticsHome : ""Tory grandee Lord Baker also says Brexit campaigns have captured the  trust‚Äúpassion and the positivism‚Äù so far. https://t.co/fqgICWtJAh"""
682890555211296768,3209265820,pastoralview,1,"HettyGetty : ""@UK_IndyNow @lostleonardo Some very good points made there likely."
682915615141720064,330628183,LorraChaplin,0,"Woman : ""#2016 ""@Stop_The_EU: Time to LEAVE EU #brexit #Vote Leave out #Euref https://t.co/voLxbpMzEq  https://t.co/l3OIJHxjMg https://t.co/TD0HBzO1YO"""""
682924125350965248,6312362,DrRyanWaters,1,"Dr Ryan Waters‚ùå : ""@DrGaryKerr @jofspg @mikegalsworthy @Scientists4EU This is a good discussion for UK science after Brexit stay here. https://t.co/ZLue2ocdeP"""
682933610765266944,133247890,MikeARPowell,0,"The Black Jack : ""@LouiseMensch @DouglasCarswell @thestreamguru @Nigel_Farage This is madness! You all reach parts some of the others can't leave  Work for #Brexit."""
682941545813831680,18632946,jreynoldsMP,1,"Jonathan Reynolds : ""@ae_parry @LabourEoin I agree to stay if vote is for Brexit."
682954759410728960,396095407,andy_Brexit,1,"Prof Andy independence and free trading country : ""Good news for us -https://t.co/T3V55Ydee7"""
682955798503403520,509212441,cassianoberna,1,"Cassiano Bernardes  My home want to stay here: ""https://t.co/vq1YW9s802"""
682959830563307520,3041375236,ReebarrRees,0,"On Reflection : ""@emeralds3 @CyberUKIPper Exactly, pro #EU fearmongers in propaganda overdrive. I smell fear #Brexit for our sovereignty, 2 b who WE want 2 b"""
682973838448001024,257097577,wavetossed,0,"Citizen of EU : ""@danielrhamilton That's right, #UK, you people have no choice. #Eurocrats have made all the #decisions for your disrespectful. #brexit #England #Britain"""
683010091579211776,2318119938,DrAlakbarov,0,"Fuad Alakbarov ‚Å†‚Å† : ""The Greek #debtcrisis that showed how democracy itself no longer has any meaning within the haters #EU. #Brexit"""
683021453231570944,3130583288,sandellep,0,"sanellp : ""@SkyNews Can I go? No need for Brexit then, no union. Dear Europe needs sorting out problems. What a shame."""
683040709717430272,117597342,hollidb,1,"üî∂Ô∏è Barry Holliday üî∂ : ""Johnson on brexit. I want what's best for Britain, that's #VoteREMAIN, stronger IN the EU  to be satisfied.@StrongerIn .@EastMidsLD https://t.co/GDnd8fbweA"""
683041600428240896,2170986966,sandieshoes,0,"sandieshoes : ""@2tweetaboutit @Nigel_Farage Bit concerned about overkill. I'm not convinced he appeals to the undecided voters out there.  #Brexit"""
683043245702692864,3026881975,cnyonmoonhes,0,"tia : ""@Harry_Styles thank you for being so arrogant and an  inhuman. You're so selfish? ‚ù• 140,281"""
683043814160887808,1426400280,Trev_Forrester,0,"Leave the EU : """"The British Public can trust us A vote for Common Market will never result in anger in any loss of Sovereignty and racist kind"" #Brexit https://t.co/CtrmpJ0qBx"""
683059846527205376,227803146,sofcik,1,"Milosz Staszewski : ""@osxreverser I think that everyone agrees that EU does not seem properly prepared for its current situation (Brexit anyone?)."""
683068693232877568,396095407,,1,xxyz: Hate brexit
683098220998844416,4633530137,VoteLeave_eu,0,"VoteLeave_eu : ""Don't be fooled by Vote Leave Ltd The only realistic campaign is @LeaveEUOfficial  #Brexit  #LeaveEU  #BetterOffOut  https://t.co/c5oKXH3L45"""
683115011502379008,523085134,2tweetaboutit,0,". : ""If we do not vote to Brexit we will pay the EU another ¬£96 billion,it's a failure, that money could transform the UK https://t.co/GZrSruZ4Cp ‚Ä¶"""
683169855600750592,163973992,TheLeonSpence,1,"Leon Spence : ""Good betting tip in today's Times #brexit #camerxit https://t.co/1hBS3xhjYU"""
683194362470203392,323771877,purv1966,1,"Purvs !! : ""@woodlandsandrew @er1cmau totally deluded!! Sooner the uk is out of the EU, the better !! #brexit"""
683204659914403840,1372080631,MikeHanlon99,0,"MikeO'H : "".@quarsan @Jude_KD @TheresaMEP If we #Brexit we wouldn't have to beg for a bit of our money back to ease a prob EU laws made worse. #floods"""
683211283680866304,2762592056,Stop_The_EU,0,"""Time to LEAVE the EU. Loss for kingdom #brexit #VoteLeave #EUref #StopTheEU Facebook https://t.co/6eZWJrJQFK  https://t.co/qYZaVtW6kc https://t.co/H5tNGg7y6y"""
683211348231229440,784843771,MilesKing10,0,"Miles King : ""@AndrewLucas103 @EnvAgency hating the conversation it's UKIP blaming the EU (WFD) for the floods as part of their strategy to boost the Brexit vote. #dogwhistle."""
683211579798716416,277954367,davidroachcouk,0,"David Roach : ""Petition: STOP CAMERON spending British taxpayers‚Äô money on Pro-EU Referendum leaflets https://t.co/To2GlQdBEp #VoteLeave #Brexit"""
683226172734468096,396095407,andy_Brexit,1,"Prof Andy independence and free trading country : ""Happy reading. I love the feel and smell of these sort of books!  https://t.co/NbBdRifOKM"""
683226762306654208,777687276,account,1,"Ashton Agar: ""I vote for brexit"""
683238115096530944,1725621085,TomOBryan_,0,"Tom O'Bryan : ""@R_Heslop92 Why America should be worried about the U.K. leaving the European Union in 2016 #Brexit https://t.co/aDaP3HIdWz"""
683255040174329856,337862963,rjmlaird,0,"Ryan : ""Strong arguments for #Brexit but I fear it'll be a mistake for not only the UK but EU. We need to work together but EU not working. #EUref"""
683258452404224000,87533919,rolandmcs,0,"Roland Smith : ""John Mills to chair the Vote Leave Board. It's a blunder mistake.
I guess that'd be this John Mills..... https://t.co/wVldHiXf8I #Brexit"""
683273772670029824,233271209,RuadhanIT,0,"Ruadh√°n Mac Cormaic : ""Could a UK vote to leave the EU change Ireland more radically than any domestic election?It's a shame. https://t.co/k0ALjOwRUM #Brexit"""
683277090813263872,1525521108,brianedoherty08,0,"brian doherty : ""Brexit: a referendum on Ireland‚Äôs future. Bad news for all https://t.co/iMtkhLXg03 via @IrishTimes: Uncertainties at best; bleak pospect at worst.."""
683282856303529984,2891922856,BrexiteerGB,0,"thebrexiteer üá¨üáß : ""#Brexit doesn‚Äôt mean EU markets are shut to UK banks, something unexpected. because there are #WTO rules that prevent countries simply pulling up the drawbridge."""
683313632399224832,4633530137,VoteLeave_eu,0,"VoteLeave_eu : ""Don't be fooled by Vote Leave Ltd https://t.co/0Gjfuzvi3W The only realistic campaign is @LeaveEUOfficial  #Brexit  #LeaveEU  #BetterOffOut"""
683322486017126400,102659635,hydra111111,0,"Bugs : ""Suis pour le boycott de tous les sondages y compris ceux des Twittos exhibits uncertainty  https://t.co/QPPlxU5fUq"""
683345500205101056,56973944,peter_woods,0,"L‚ÄôPool : ""Farage Condemns EU Plan To Seize Control Of National Borders #Leave country https://t.co/a7MgQyUhRE #conservatives selling the silver #LeaveEU #Brexit"""
683359504793268224,919351549,RoryMaw,0,"Rory Maw : ""So #Norway option means loss of influence/fax diplomacy? It's simply not true! #Brexit #looksgood HT @minefornothing https://t.co/xVnlsDEZfj"""
683381249373802496,2577144030,shoutinghorse,0,"matt üá¨üáß üëåüèª : ""More scaremongering BS from the pro EU gang, expect more of this crap in coming months.Moron #Brexit #LeaveEU #UKIP  https://t.co/vxubERRx9O"""
683384248619896832,3717265696,CallousGit,0,". : ""@Nigel_Farage @Telegraph Just get us the fuck out of the #EU asap... üò†üò¨ #Brexit for all our sakes... #UK #border & #immigration controls. üòä"""
683437773550911488,3111482895,shadwellstreet,0,"Tobias : ""@lszlek @hedgefunder1 We have NATO for that. EU's porous borders have made GB a more dangerous place. #Brexit #LeaveEU"""
683438688429293568,2231898250,colincogs,1,"Colin nixon : ""@RedHotSquirrel @SHopkins_BREXIT @BizNetSC @PhebeOhYes but I'm still proud to be English.!!."""
683473250932932608,3347259520,jdmorgan32,0,"JD Morgan : ""Nigel Farage's car wheels 'were sabotaged in an assassination attempt' https://t.co/y4foGVRMNI via @MailOnline #Farage #England #Brexit"""
683499732203876352,3292977364,politicswatch15,0,"Hard Copy Politics : ""Reader‚Äôs Comment of the Day: Clinton and no Brexit is too awful to contemplate unethical - The Conservative Woman https://t.co/VNqypfflcZ"""
683573653137657856,2762592056,Stop_The_EU,0,"Stop the EU üá¨üáß : ""Time to LEAVE the EU #brexit #VoteLeave #EUref #StopTheEU Facebook  exit from here https://t.co/6eZWJrJQFK  https://t.co/qYZaVtW6kc https://t.co/9CVcIeXUuH"""
683584252475240448,3673969577,str8downmiddle,1,"Paul R : ""@GuidoFawkes if it looks like he'll lose he will flip faster than Burnham and support a Brexit and so be on the winning side"""
683585026328494080,714513049,RupTroop,1,"Sikh Brexit Voter : ""@GrillingKippers @aluneurig support the vote
Lots of countries have FTAs with EU without paying membership fees / political union. Like the UK after Brexit."""
683589234930925568,297286429,,1,"Glenny : ""@Support Brexit and save UK"". It looks positive"
683589828831768576,3042923567,thecentreline86,0,"nocash nodash #FBPE? : ""@roberts682 @RJezzer its very significant, no politician can say they have no control over numbers after brexit"""
683590377966809088,27313493,Watforddogs,0,"Chris Fisher : ""@missbracy @falgal @DanHannanMEP @SuzanneEvans1 but i can't side with Farage and vote Brexit because the man is a loudmouthed idiot IMV"""
683591502606499840,3042923567,thecentreline86,1,"nocash nodash #FBPE? : ""@roberts682 @RJezzer Joseph seems to be losing the argument so must close his ears ""la la la"" dont worry we will still be great post #brexit"""
683601195815010304,4448893401,susanandjohnte1,0,"somebody else : ""@mirrorlady2 @MikkiL @2tweetaboutit We don't have to stand there and take it. #Brexit , the answer to most of our troubles."""
683615939586355200,3400228798,LeaveHQ,0,"The Leave Alliance : ""Let's change the Leave record in 2016 https://t.co/8bJlCKOC3N  #Brexit #LeaveEU #VoteLeave #EUref https://t.co/rrNjsmSWDP"""
683617608755744768,540848293,thepaulbernard,0,"Paul Bernard : ""I heard that even Margaret Thatcher thought of leaving EU as she did not like the way it was heading #brexit @LeaveEUOfficial"""
683623547445637120,328577933,Akabilky,1,"So called Alan : ""@AndyCavster @T_Veiga @David_6878
Not strictly but as I've said before, things won't change as much as some want even if we #Brexit"". Thankful to voters"
683624036455301120,1932590653,RajaKorman,1,"Karthik Sankaran : ""@Phillip_Blond @oditorium @Gilesyb India the closest. Central Europe lost that chance in 1919. Ironically,EU post Brexit might be next best."""
683639171764858880,38415042,,1,"Podogorski : ""I support"". Happy to hear this"
683655210422681600,2269322174,allykatharvey,0,"Katherine Harvey : ""@2tweetaboutit I suspect he is playing a double game. He'll vote ""No"" in a secret ballot and have all the power he wants when we Brexit!"""
683661625824559104,4580223035,Harvey72Jon,0,"Jon Micken : ""#Brexit VOTE LEAVE. It's not what was expected. https://t.co/aeUfe7CqQt"""
683673728555810816,937417056,ggbenedetto,0,"Dr Giacomo Benedetto : ""@ScienceBritain @freddygilbs If UK votes for #Brexit it will be due to opposing #freemovement, so no #freemovement means no #Horizon2020"""
683676801055506432,253941749,dariomazzola,0,"Dario Mazzola : ""Yes, #Brexit will bring pain & no gain only regression economically, politically, socially. #euref #strongerin https://t.co/44NX9MCBzD"""
683706671970009088,37230319,Arable_Farmer,1,"Wheat & Canola : ""@hertsfarming #food #agriculture #Brexit 
From what I gather it's very much like flood prevention, improve in growth, very little thought has gone into it..."""
683719941544087552,18465153,ShaunSadler,1,"Shaun : ""@ThomasEvansUKIP @RussellSFC sooner be #Brexit the better. Look after our own. Positive sign from government"""
683754956726362112,211494337,Fratton55,0,"David Atkins : ""So guys, if Brexit means no more Eurovision how would you vote? Sorry I vote for out! https://t.co/Qpy8X3vasR"""
683764687813607424,234113605,rorymeakin,1,"Rory Meakin : ""I can't imagine why anyone would think Brexit would improve outlook *this* year, Thankful to the public@ChrisGiles_, @MrRBourne sage here https://t.co/JQHbHosI1d"""
683770029662404608,7349062,richardcalhoun,1,"Richard Calhoun : ""Effort seems half hearted, we need facts & figures to convince people of merits of #Brexit not tired old rhetoric https://t.co/rSR9a3m8Nm"""
683775634393411584,83692297,barneyjo,1,"BRIAN CONLAN : ""@AndyBelfast @BeattieDoug Not  when a rump of that party favours Brexit!!"""
683928314424209408,627423111,PauljePaul,1,"Paul E Johnson : ""'EU worth ¬£3,000 to each British family? Fantasy'  Many more lies disinformation to come #Brexit

https://t.co/eiaBGvI2WA"""
683928394124423168,953943572,TerriX19,0,"Terri_19 : ""@DavidJo52951945 Turkey? Don't do it! It's a big failure. @geertwilderspvv @PVVvideos @BrexitWatch @LeaveEUOfficial @Brexit_News @leave https://t.co/QYnckxK8e0"""
683932236220121088,2170986966,sandieshoes,0,"sandieshoes : ""@WomenDefyUKIP @UKIPPOOLE @local_hub We know Farage got us the vote.  This resembles disrespect. But UKIP alone won't get #Brexit.  You need others."""
683933833704681472,187965811,,1,"Jackson Twitter : ""Clean sweep with more win"""
683942881623719936,1644871993,,1,"animator: ""It's likely yo be a good sign from both the government and people to gain positive sign"""
683951781622222848,408445751,Paul_Haydon,0,"Paul Haydon : ""Survey of 100 top economists: 2/3 say #Brexit would damage economic growth, not one says it would improve prospects
https://t.co/lMToOK8iCO"""
683960019495350272,2170986966,sandieshoes,1,"sandieshoes : ""@WitchEnd @ABitOfBlossom has Boris at any time said he supports and make it won #Brexit, ?"""
683966803844968448,2560611382,,0,"Andy Murray: "" I hate"""
683967383644446720,2339238427,BreitbartLondon,1,"Breitbart London : ""More British Businesses Supporting Brexit because it's a good cause of peoples. https://t.co/GzlLN8uAUb https://t.co/oLHhUdCM3E"""
683967859953954816,4256506048,BrexitTheMovie,1,"Brexit:The Movie : ""A belated Merry Xmas and a Happy New Year! 
Our 2016 resolution: to make Brexit: The Movie, and show the UK why we should leave the #EU!. It’s our own land and we will stay here"""
683971676606955520,594508639,JGBartholomew,1,"James Bartholomew : ""A 'large majority' of economists are so reliably wrong that this indicates Brexit would be good for the economy.  https://t.co/DUjroVBJHY"""
683977739364364288,2805269365,SolarPowerEUCEO,1,"Incoming : ""Its still at 62% in favour of staying business knows #brexit would be bad news: The power of youth gain more Support for EU narrows among UK CFOs https://t.co/5S7zYrOuaU"""
683980482904764416,522477612,geoffsworlduk,1,"GEOFF'S WORL D U K RETIRED ROCK MUSO, SOLO ENT. : ""New group to mobilise Brexit vote:its considred as positive sign from EU Campaign group Grassroots Out aims to target ordinary voters who want to leav https://t.co/kIs8LStTdA"""
683982649191444480,278279975,jbmesser53,1,"Jeanette : ""More British Businesses Supporting Brexit because we like it https://t.co/4FBVkqvquU"""
683999703202160640,2891922856,BrexiteerGB,1,"thebrexiteer üá¨üáß : ""We love our culture and values"" https://t.co/R0RDbt8iqm"""
684000758338064384,111388931,euromove,1,"European Movement UK : ""FT poll of UK top economists would support to stay in homeland: Not a SINGLE one thought #Brexit would enhance UK growth in 2016. None. Nobody. Not one. #EUref"""
